epoch,train_loss,train_acc,val_loss,val_acc
1,1.2422,61.87,0.6742,79.2
2,0.4477,85.57,0.4932,83.56
3,0.2583,91.39,1.1685,67.88
4,0.1864,93.9,0.1784,94.27
5,0.148,95.06,0.5531,83.29
6,0.1246,95.97,0.2575,92.25
7,0.1012,96.63,0.2446,92.28
8,0.0916,96.94,0.8293,81.06
9,0.0767,97.37,0.3765,89.63
