epoch,train_loss,train_acc,val_loss,val_acc
1,1.2434,61.64,0.7531,75.53
2,0.4193,86.47,0.3797,88.03
3,0.2402,92.08,0.297,90.76
4,0.1667,94.39,0.2351,92.31
5,0.1279,95.78,0.3505,88.95
6,0.1111,96.24,0.3007,90.92
7,0.0952,96.72,0.8757,80.47
8,0.0837,97.28,0.2836,91.85
9,0.0712,97.58,0.3864,88.93
